no,sex,TL,ROSTBH,NOTCH2APEXDORS,HDORS
1,m,48,5,25,3
2,m,58,7,29.5,3.4
3,m,67,7.5,34,3
4,m,101,11.5,51,7
5,m,127,18,64,10
6,m,129,18,66,10.5
7,m,132,18,66,12
8,m,140,18,71,19
9,m,182,22,85,16
10,m,241,,,20
11,m,234,26,,
12,m,244,25,,
13,m,253,29,,20
14,m,265,30,128,20
15,m,267,31,,20
16,m,279,30,147,22
17,m,282,28,,
18,m,292,31,160,21
19,m,302,36,156,24
20,m,308,34,,24
21,m,317,37,171,23
22,m,325,38,172,25
23,m,328,35,184,25
24,m,341,39,,27
25,m,343,35,,
26,m,344,40,187,27
27,m,346,38,,25
28,m,352,40,192,29
29,m,355,41,198,28
30,m,362,42,208,29
31,m,363,,203,
32,m,366,39,214,26
33,m,370,33,200,
34,m,385,44,223,36
35,m,391,43,214,31
36,m,392,42,,31
37,m,394,42,227,
38,m,396,39,228,29
39,m,418,40,240,31
40,m,424,40,240,34
41,m,424,43,,33
42,m,432,39,249,36
43,m,434,38,238,33
44,m,439,50,254,45
45,m,445,45,241,41
46,m,453,40,275,43
47,m,455,44,260,38
48,m,459,42,,37
49,m,473,41,259,50
50,m,475,46,292,50
51,m,482,43,272,45
52,m,491,45,291,40
53,f,27,1.6,14.5,1.5
54,f,29.8,1.8,15.5,1.5
55,f,30.6,2.5,15.8,2
56,f,35.8,2.8,18.5,2.5
57,f,55,6,26,3.5
58,f,67,8,32,3.5
59,f,127,19,65,11
60,f,130,20,68,12
61,f,130,15,73,12
62,f,190,24,99,16
63,f,190,18,96,15
64,f,200,26,104,16
65,f,200,25,,15
66,f,228,29,126,19
67,f,254,31,136,17
68,f,256,30,144,
69,f,260,29,143,21
70,f,268,32,,17
71,f,282,34,149,22
72,f,283,36,156,23
73,f,286,38,161,21
74,f,287,35,,25
75,f,290,,,20
76,f,294,35,157,24
77,f,304,34,160,
78,f,307,31,,23
79,f,312,37,169,22
80,f,313,36,182,19
81,f,320,35,,20
82,f,321,33,165,22
83,f,322,31,182,20
84,f,326,35,174,27
85,f,326,35,170,23
86,f,327,38,181,29
87,f,328,37,189,24
88,f,334,37,183,25
89,f,334,36,190,22
90,f,335,29,190,21
91,f,338,34,,25
92,f,338,30,197,22
93,f,340,35,192,24
94,f,340,35,176,30
95,f,341,37,188,25
96,f,341,36,201,20
97,f,342,35,195,28
98,f,342,35,,25
99,f,343,38,193,28
100,f,343,,,
101,f,344,,192,
102,f,344,,,
103,f,345,35,190,21
104,f,345,37,198,26
105,f,345,32,196,26
106,f,346,32,203,24
107,f,347,40,188,24
108,f,347,35,,25
109,f,347,32,,23
110,f,347,,192,
111,f,348,40,206,32
112,f,348,35,,25
113,f,352,39,,27
114,f,352,34,196,24
115,f,353,35,196,26
116,f,353,35,191,22
117,f,354,38,201,23
118,f,354,36,206,27
119,f,354,35,190,21
120,f,354,,,
121,f,355,37,198,33
122,f,355,35,201,20
123,f,353,34,,25
124,f,356,37,189,25
125,f,357,33,206,23
126,f,357,34,,24
127,f,357,,189,
128,f,358,41,205,33
129,f,358,37,,24
130,f,358,39,215,32
131,f,358,37,193,22
132,f,360,39,,25
133,,361,40,199,30
134,,361,32,,
135,,361,,198,
136,,361,,202,
137,,363,35,195,28
138,,364,35,202,24
139,,365,36,,24
140,,365,36,,
141,,365,32,,
142,,367,,,
143,,369,38,205,29
144,,369,41,218,31
145,,371,35,213,27
146,,372,36,,27
147,,373,37,215,30
148,,373,37,,
149,,374,41,,34
150,,374,36,214,28
151,,374,37,192,28
152,,376,38,,
153,,377,41,,78
154,,378,37,220,33
155,,378,42,,30
156,,381,39,204,
157,,387,38,,28
158,,388,38,229,26
159,,388,,223,20
160,,392,40,,29
