location,month,day,year,num,sex,TL,JAWPROJ,ROSTBH,ROSTJAW,ROSTEYE,ROSTFLIP,EYEEAR,NOTCHTOFIN,WFLUKES,NOTCHANUS,NOTCHUMBIL,NOTCHGROOVE,ANUSREPRO,HDORS,BDORS,FLIPAXIL,FLIPTIP,LFLIP,WFLIP,LHEAD,WSKULL,LSKULL,FLIPHUMER,TAILDEPTH,ROSTAXIL
south georgia,2,5,1925,2,f,20.8,0.2,4.03,,4.53,8.85,1,4.9,1.05,6.2,9.3,9.3,0.6,0.5,,,,,0.58,5.5,,,,,
south georgia,2,5,1925,3,f,17.6,,3.5,,3.8,7.5,,4.8,0.9,5.1,8.2,8.2,0.7,0.5,,1.45,1.85,1.9,0.48,4.58,,,,,
south georgia,2,5,1925,4,m,,,,,4.35,,,5.25,1,6,9.5,,1.5,0.5,1.4,,,,,,,,,,
south georgia,2,10,1925,7,f,19.55,0.3,4,4.2,4.35,8.35,1,5,1,5.5,8.8,,0.5,0.5,1.1,1.65,2.25,,0.56,5.35,3.15,,,,
south georgia,2,11,1925,11,m,19.5,,4,4.19,4.25,8.2,1.1,4.7,0.95,5.2,8.35,8,1.55,0.5,1.2,,,,,5.3,2.2,,,,
south georgia,2,11,1925,12,f,17.3,,3.23,3.5,3.65,7.2,0.87,4.3,0.85,4.75,7.7,7.4,0.5,0.4,0.95,,1.6,,0.5,,,,,,
south georgia,2,11,1925,14,m,17.9,,3.15,3.42,3.55,7.15,0.88,4.35,0.85,5.35,8.3,,0.9,0.38,0.9,1.5,2.1,2.11,0.53,,,,,,
south georgia,2,12,1925,15,m,19,,,3.85,3.87,7.7,,,0.95,,,,,,,1.45,,,,,,,,,
south georgia,2,12,1925,16,m,20.5,0.15,4.07,4.4,4.36,9,1.05,4.8,0.85,5.4,8.7,8.45,1.55,0.5,1,1.65,2.1,2.2,0.55,,,,,,
south georgia,2,12,1925,17,m,19.6,,3.85,4,4.3,8.2,0.95,4.18,1,5.2,8.75,8.5,1.5,0.55,1.25,,,,,,,,,,
south georgia,2,12,1925,18,m,18.7,,3.7,,4.1,7.73,0.9,4.8,0.95,5.25,8.65,8,1.5,0.52,1.4,1.5,1.8,,0.45,4.95,2.05,,,,
south georgia,2,12,1925,19,m,19.45,,3.85,4.15,4.25,7.8,1,4.65,0.95,5.3,8.55,8.2,1.2,0.6,1,1.4,2,2.2,0.52,,,,,,
south georgia,2,13,1925,20,f,20.8,0.24,3.75,4.15,4.23,8.5,0.93,,1,6.1,9.65,,0.65,0.47,1,2.25,2.16,2.18,0.55,5.21,2.43,,,,
south georgia,2,13,1925,22,m,20.3,,3.6,3.8,4,8.25,0.94,5.6,1.05,6.2,9.5,9.4,1.3,,1.2,1.75,,,,,,,,,
south georgia,2,16,1925,23,f,21.5,,4.05,4.2,4.35,8.9,1.06,,1.23,6.1,9.5,,0.65,,,0.9,,,,5.45,2.27,,,,
south georgia,2,16,1925,25,m,19.9,,3.7,3.95,4,8.3,1,5.13,1.2,6.6,9.35,9.3,0.77,0.48,1.3,1.65,,,,,,,,,
south georgia,2,17,1925,28,f,17.65,,3.3,3.5,3.76,7.4,0.9,4.6,0.93,4.88,,7.25,0.59,0.45,1.4,1.5,,,,,,,,,
south georgia,2,18,1925,29,f,21.7,0.27,4.25,4.5,4.6,9.2,1,5,1.05,5.7,9.5,9.6,0.85,0.5,1.5,1.85,2.58,2.67,0.64,5.65,2.47,,,,
