location,month,day,year,num,sex,TL,JAWPROJ,ROSTBH,ROSTJAW,ROSTEYE,ROSTFLIP,EYEEAR,NOTCHTOFIN,WFLUKES,NOTCHANUS,NOTCHUMBIL,NOTCHGROOVE,ANUSREPRO,HDORS,BDORS,FLIPAXIL,FLIPTIP,LFLIP,WFLIP,LHEAD,WSKULL,LSKULL,FLIPHUMER,TAILDEPTH,ROSTAXIL
south georgia,2,,1925,5,m,18.4,,3.3,,,8.2,0.99,4.7,,,,,,,,,,,,,2.4,,,,
south georgia,2,,1925,6,m,16.85,,2.42,,,6.55,,,,,,,,,,,,,,,,,,,
south georgia,2,,1925,8,m,18,,3.18,,,7.75,,4,,,,,,,,,,,,,2,,,,
south georgia,2,,1925,9,f,18.85,,3.2,,,7.9,0.95,4.9,,,,,,,,,,,,,,,,,
south georgia,2,,1925,10,f,20.15,,3,,,7.95,,5.55,,,,,,,,,,,,,2.15,,,,
south georgia,2,,1925,13,f,20,,3.35,,,8.65,,,,,,,,,,,,,,,2.47,,,,
south georgia,2,,1925,21,m,25.5,,5.1,,,11.7,1.44,6.2,,,,,,,,,,,,,3.04,,,,
south georgia,2,,1925,24,f,25.8,,4.75,,,11.3,1.4,6.2,,,,,,,,,,,,,3.5,,,,
south georgia,2,,1925,26,f,25.3,,4.8,,,11.2,1.3,6.28,,,,,,,,,,,,,,,,,
south georgia,2,,1925,27,f,24.2,,4.35,,,10.35,,5.7,,,,,,,,,,,,,,,,,
south georgia,2,,1925,30,m,21.6,,3.8,,,9.3,1.2,,,,,,,,,,,,,,,,,,
south georgia,2,,1925,31,f,18.3,,2.94,,,11.3,0.9,4.97,,,,,,,,,,,,,2.25,,,,
south georgia,2,,1925,34,m,21.8,,3.7,,,9.1,1.15,5.6,,,,,,,,,,,,,2.4,,,,
south georgia,2,,1925,36,m,21.65,,4,,,9.75,1.2,3.34,,,,,,,,,,,,,3.54,,,,
south georgia,2,,1925,37,f,17.8,,3,,,7.3,0.98,4.85,,,,,,,,,,,,,2.3,,,,
south georgia,2,,1925,40,m,23.05,,4.25,,,10.1,1.6,5.8,,,,,,,,,,,,,2.7,,,,
south georgia,2,,1925,41,f,21.95,,3.7,,,,,5.3,,,,,,,,,,,,,,,,,
south georgia,2,,1925,43,f,19.45,,3.3,,,8.3,1.1,5,,,,,,,,,,,,,,,,,
south georgia,2,,1925,46,f,22.58,,4.1,,,10,1.22,5.7,,,,,,,,,,,,,2.7,,,,
south georgia,2,,1925,47,m,19.1,,2.95,,,7.85,1,,,,,,,,,,,,,,2.2,,,,
south georgia,2,,1925,48,f,21.45,,3.8,,,8.95,1.13,5.51,,,,,,,,,,,,,2.7,,,,
south georgia,2,,1925,49,f,20.27,,3.5,,,9,1.1,5,,,,,,,,,,,,,,,,,
south georgia,2,,1925,50,f,18.21,,,,,7,0.95,5,,,,,,,,,,,,,,,,,
south georgia,2,,1925,52,f,26.2,,5.1,,,11.5,1.4,6.5,,,,,,,,,,,,,3.4,,,,
south georgia,2,,1925,53,m,18.6,,3.35,,,7.9,,,,,,,,,,,,,,,2,,,,
south georgia,2,,1925,54,f,26.2,,4.9,,,11.25,1.32,6.15,,,,,,,,,,,,,2.9,,,,
south georgia,2,,1925,55,f,22.15,,4,,,9.1,1.15,5.75,,,,,,,,,,,,,,,,,
south georgia,2,,1925,60,f,20.5,,3.35,,,8.9,1.11,5.1,,,,,,,,,,,,,2.35,,,,
south georgia,3,,1925,72,m,21.7,,4,,,9.3,1.24,5.3,,,,,,,,,,,,,2.34,,,,
south georgia,3,,1925,81,f,19.85,,3.3,,,8.5,1,5.55,,,,,,,,,,,,,2.25,,,,
south georgia,3,,1925,82,m,25.45,,5.1,,,10.9,1.35,6.25,,,,,,,,,,,,,,,,,
south georgia,3,,1925,85,m,20.1,,3.5,,,8.45,1.08,5.2,,,,,,,,,,,,,2.2,,,,
south georgia,3,,1925,87,m,22.05,,4.4,,,9.8,1.26,5.56,,,,,,,,,,,,,,,,,
south georgia,3,,1925,88,f,23.85,,5,,,10.74,1.38,6.1,,,,,,,,,,,,,2.8,,,,
south georgia,3,,1925,89,f,20.8,,,,,,,,,,,,,,,,,,,,2.2,,,,
south georgia,3,,1925,90,f,21.4,,3.6,,,8.8,1.15,5.4,,,,,,,,,,,,,2.36,,,,
south georgia,3,,1925,91,m,21.4,,3.7,,,9.2,1.14,5.4,,,,,,,,,,,,,2.25,,,,
south georgia,3,,1925,92,m,23.2,,4.15,,,10.3,1.25,6.1,,,,,,,,,,,,,2.6,,,,
south georgia,3,,1925,93,m,20.4,,3.6,,,8.7,1.05,,,,,,,,,,,,,,2.2,,,,
south georgia,3,,1925,95,m,18.8,,3.15,,,7.75,1,4.68,,,,,,,,,,,,,2.05,,,,
south georgia,3,,1925,98,m,19.5,,3,,,7.9,1.17,,,,,,,,,,,,,,2.1,,,,
south georgia,3,,1925,99,f,19.9,,4.5,,,8.45,,,,,,,,,,,,,,,2.16,,,,
south georgia,3,,1925,102,m,19.9,,,,,8.45,,,,,,,,,,,,,,,2.2,,,,
south georgia,3,,1925,103,f,23.7,,4.4,,,10.8,1.34,5.7,,,,,,,,,,,,,2.95,,,,
south georgia,3,,1925,104,f,26.95,,5.1,,,11.6,1.5,6.7,,,,,,,,,,,,,3.1,,,,
south georgia,3,,1925,106,f,26.7,,5.1,,,11.8,1.53,,,,,,,,,,,,,,3.1,,,,
south georgia,3,,1925,107,m,21.3,,3.35,,,7.3,1.03,,,,,,,,,,,,,,2.2,,,,
south georgia,3,,1925,108,f,24.13,,4.6,,,10.2,1.3,3.2,,,,,,,,,,,,,2.8,,,,
south georgia,3,,1925,109,m,17.6,,2.8,,,7.1,0.9,4.8,,,,,,,,,,,,,,,,,
south georgia,3,,1925,110,m,19.4,,3,,,7.55,,,,,,,,,,,,,,,2.1,,,,
south georgia,3,,1925,112,f,27.1,,5.3,,,12,1.5,6.3,,,,,,,,,,,,,,,,,
